"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","20 Feb 2020 11:29:56 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
20-02 11:29:56,13.474,3.931,52.117,28.099,2.380,488284160,582328320,143077376,2686906368,0,0,142125.086,2530147.464,6.270,28.770,690.220,1267.594,1.990,1.490,1.410,2,0,19.830,0,0,14,3,0,4,0
20-02 11:29:57,17.536,29.858,34.123,4.739,13.744,485036032,584785920,143093760,2687315968,5350,2916,368640,106496,5,7,1383,3407,1.990,1.490,1.410,2,0,369,0,0,14,3,0,4,0
20-02 11:29:58,18.009,24.645,34.123,0,23.223,492122112,577617920,143093760,2687479808,5643,3240,0,24576,0,6,1191,3170,1.990,1.490,1.410,8,0,249,0,0,14,3,0,5,0
20-02 11:29:59,16.190,30.952,33.810,0,19.048,487555072,582029312,143093760,2687717376,5446,2916,0,16384,0,4,1497,3254,1.830,1.470,1.400,1,0,212,0,0,14,3,0,5,0
20-02 11:30:00,22.816,20.388,44.660,0,12.136,617664512,451551232,143093760,2815569920,5771,2916,0,0,0,0,1361,3328,1.830,1.470,1.400,3,0,79,0,0,16,5,0,4,0
20-02 11:30:01,14.286,25.806,36.866,0,23.041,621330432,447844352,143093760,2815610880,6750,2916,0,0,0,0,1212,2771,1.830,1.470,1.400,1,0,267,0,0,16,5,0,7,0
20-02 11:30:02,42.786,5.970,44.776,4.975,1.493,645922816,422895616,143101952,2815873024,7171,3024,102400,172032,6,2,630,866,1.830,1.470,1.400,2,0,1,0,0,16,5,0,7,0
20-02 11:30:03,33.500,4,46,13.500,3,661352448,407027712,143101952,2816221184,6860,3132,319488,0,21,0,700,824,1.830,1.470,1.400,0,1,0,0,0,16,5,0,7,0
20-02 11:30:04,12.121,3.535,42.929,32.828,8.586,665944064,401944576,143101952,2816688128,6352,2916,266240,0,20,0,609,853,1.770,1.460,1.400,1,1,0,0,0,16,5,0,7,0
20-02 11:30:05,37.186,6.533,41.206,5.528,9.548,689299456,377663488,143101952,2817413120,5287,2916,86016,1921024,7,36,759,1027,1.770,1.460,1.400,3,0,0,0,0,16,5,0,7,0
20-02 11:30:06,18.447,13.592,30.583,27.184,10.194,702480384,363749376,143269888,2817945600,7979,2970,0,2256896,0,84,1072,1994,1.770,1.460,1.400,0,1,0,0,0,16,7,0,7,0
20-02 11:30:07,2.010,4.020,44.724,41.206,8.040,702959616,362643456,143474688,2818338816,6684,3132,0,1810432,0,124,977,1479,1.770,1.460,1.400,1,1,0,0,0,16,7,0,7,0
20-02 11:30:08,3.960,2.475,46.535,44.554,2.475,703909888,360939520,143716352,2818822144,6673,3294,0,1875968,0,133,693,1667,1.770,1.460,1.400,0,1,2,0,0,16,7,0,7,0
20-02 11:30:09,4.500,2,46.500,45,2,704487424,359858176,143908864,2819129344,8673,3240,0,1572864,0,117,609,1372,1.700,1.450,1.400,0,1,0,0,0,16,7,0,7,0
20-02 11:30:10,9.852,8.374,32.512,45.320,3.941,704946176,359190528,144044032,2819203072,6957,3240,0,782336,0,79,619,1394,1.700,1.450,1.400,0,1,0,0,0,16,7,0,7,0
20-02 11:30:11,11.500,7.500,41.500,34.500,5,705495040,358334464,144244736,2819309568,5579,3240,0,1155072,0,122,921,1757,1.700,1.450,1.400,1,1,0,0,0,16,7,0,7,0
20-02 11:30:12,12.060,10.050,44.221,33.166,0.503,706220032,357339136,144412672,2819403776,6352,2916,0,1384448,0,123,1000,1731,1.700,1.450,1.400,1,1,0,0,0,16,7,0,7,0
20-02 11:30:13,6.404,8.374,44.828,38.916,1.478,706760704,356610048,144609280,2819395584,12325,3282,0,1294336,0,111,916,1573,1.700,1.450,1.400,2,1,0,0,0,16,7,0,7,0
20-02 11:30:14,9.091,7.576,36.364,46.465,0.505,706887680,356360192,144699392,2819428352,11666,3240,0,880640,0,74,624,1229,1.730,1.460,1.400,1,1,0,0,0,16,7,0,7,0
20-02 11:30:15,6.599,3.553,45.685,43.655,0.508,707203072,355913728,144789504,2819469312,9092,3240,0,4145152,0,92,559,997,1.730,1.460,1.400,0,1,0,0,0,16,7,0,7,0
20-02 11:30:16,6.897,4.433,43.350,44.335,0.985,708161536,354738176,144953344,2819522560,8406,3334,0,1286144,0,95,694,1850,1.730,1.460,1.400,0,1,0,0,0,16,7,0,6,0
20-02 11:30:17,13.636,9.596,36.364,37.374,3.030,708444160,354201600,145182720,2819547136,9461,3240,0,1617920,0,116,995,1957,1.730,1.460,1.400,0,1,0,0,0,16,7,0,6,0
20-02 11:30:18,6.154,5.128,43.590,42.564,2.564,709869568,283918336,145276928,2886754304,7011,2916,0,27414528,0,83,858,1729,1.730,1.460,1.400,0,2,2,0,0,16,7,0,6,0
20-02 11:30:19,2.010,1.508,21.106,74.874,0.503,710119424,283410432,145330176,2886934528,7828,3240,0,41136128,0,75,771,1779,1.750,1.470,1.400,0,1,0,0,0,16,7,0,6,0
20-02 11:30:20,2.970,1.980,34.158,58.911,1.980,710291456,282902528,145440768,2887147520,9912,3240,0,2076672,0,124,612,1147,1.750,1.470,1.400,0,3,0,0,0,16,7,0,6,0
20-02 11:30:21,2.488,1.493,39.801,55.721,0.498,710250496,282935296,145440768,2887155712,8875,3240,0,1589248,0,170,554,616,1.750,1.470,1.400,0,2,0,0,0,16,7,0,6,0
20-02 11:30:22,3.483,1.493,45.274,46.269,3.483,710590464,281821184,145510400,2887860224,9215,2916,0,6279168,0,118,764,1359,1.750,1.470,1.400,0,1,0,0,0,16,7,0,6,0
20-02 11:30:23,2.985,1.990,45.274,46.269,3.483,710627328,281411584,145620992,2888093696,8449,2916,0,2064384,0,90,711,1197,1.750,1.470,1.400,0,1,0,0,0,16,7,0,6,0
20-02 11:30:24,9.048,7.143,40.476,35.238,8.095,711077888,280576000,145805312,2888278016,6420,2916,0,1384448,0,116,892,1729,1.770,1.480,1.410,0,1,0,0,0,16,7,0,6,0
20-02 11:30:25,4.286,4.762,42.381,38.095,10.476,711364608,279990272,145940480,2888413184,6774,2916,0,1310720,0,91,840,1522,1.770,1.480,1.410,0,1,0,0,0,16,7,0,6,0
20-02 11:30:26,8.333,9.314,36.765,34.314,11.275,711798784,279228416,146083840,2888589312,7615,3240,0,1449984,0,109,904,1625,1.770,1.480,1.410,0,1,0,0,0,16,7,0,6,0
20-02 11:30:27,9.360,10.837,38.424,34.483,6.897,712003584,278908928,146231296,2888548352,7088,2916,0,2027520,0,135,1004,1976,1.770,1.480,1.410,1,1,0,0,0,16,7,0,6,0
20-02 11:30:28,10.448,8.458,39.801,37.811,3.483,712130560,278491136,146366464,2888699904,6397,3240,0,1183744,0,85,877,1771,1.770,1.480,1.410,0,1,2,0,0,16,7,0,6,0
20-02 11:30:29,16.162,10.606,36.869,27.778,8.586,712732672,277790720,146522112,2888622080,5549,2916,0,1380352,0,108,934,1885,1.790,1.490,1.410,0,1,0,0,0,16,7,0,6,0
20-02 11:30:30,10,7.500,39,40,3.500,712626176,277667840,146595840,2888773632,5775,2916,0,798720,0,55,830,1522,1.790,1.490,1.410,1,2,0,0,0,16,7,0,6,0
20-02 11:30:31,2.488,3.980,44.776,46.269,2.488,712953856,277315584,146669568,2888724480,10919,2916,0,770048,0,48,621,1091,1.790,1.490,1.410,0,1,0,0,0,16,7,0,6,0
20-02 11:30:32,10.732,13.659,25.854,44.390,5.366,712916992,277192704,146747392,2888802304,7592,3240,0,921600,0,67,817,1319,1.790,1.490,1.410,0,1,0,0,0,16,7,0,6,0
20-02 11:30:33,7.960,7.463,35.821,37.313,11.443,713146368,276885504,146833408,2888773632,5903,2916,0,1019904,0,78,809,1557,1.790,1.490,1.410,0,1,0,0,0,16,7,0,6,0
20-02 11:30:34,3.922,3.922,45.098,37.745,9.314,713256960,276598784,146939904,2888839168,6218,2916,0,1142784,0,78,742,1547,1.810,1.500,1.410,0,1,0,0,0,16,7,0,6,0
20-02 11:30:35,6.965,4.478,44.279,42.289,1.990,713543680,276094976,147038208,2888953856,6178,2862,0,1056768,0,83,734,1350,1.810,1.500,1.410,0,1,1,0,0,16,7,0,6,0
20-02 11:30:36,3.960,1.485,39.604,53.960,0.990,713662464,275996672,147054592,2888916992,5926,3294,0,188416,0,17,566,1006,1.810,1.500,1.410,0,3,0,0,0,16,7,0,6,0
20-02 11:30:37,2,2,32,62.500,1.500,713428992,276094976,147107840,2888994816,10414,2916,0,1695744,0,92,680,976,1.810,1.500,1.410,0,1,0,0,0,16,7,0,6,0
20-02 11:30:38,13.930,11.940,39.801,30.348,3.980,713728000,275906560,147210240,2888781824,7239,2916,0,1228800,0,84,1009,2639,1.810,1.500,1.410,0,1,2,0,0,16,7,0,6,0
20-02 11:30:39,2.985,2.488,43.781,45.771,4.975,713621504,275779584,147247104,2888970240,7433,3132,0,520192,0,33,543,1109,1.900,1.520,1.420,0,1,0,0,0,16,7,0,6,0
20-02 11:30:40,12.438,15.920,32.338,38.806,0.498,714014720,275333120,147345408,2888925184,6755,3024,0,880640,0,75,738,1319,1.900,1.520,1.420,1,1,0,0,0,16,7,0,6,0
20-02 11:30:41,16.418,10.448,32.836,39.801,0.498,714002432,275238912,147390464,2888982528,5356,3240,0,679936,0,46,700,1237,1.900,1.520,1.420,1,1,0,0,0,16,7,0,6,0
20-02 11:30:42,13.198,11.675,38.579,36.041,0.508,714235904,274919424,147480576,2888978432,5717,3186,0,1073152,0,86,891,1780,1.900,1.520,1.420,0,1,0,0,0,16,7,0,6,0
20-02 11:30:43,8.780,5.366,37.561,40.976,7.317,714416128,274554880,147615744,2889007104,6059,3186,0,1298432,0,94,732,1486,1.900,1.520,1.420,0,1,0,0,0,16,7,0,6,0
20-02 11:30:44,31.188,18.812,24.752,23.762,1.485,715120640,273268736,147693568,2889478144,6037,3348,0,868352,0,57,976,1995,1.910,1.530,1.430,1,1,0,0,0,16,7,0,6,0
20-02 11:30:45,14.851,16.337,31.683,34.158,2.970,715321344,272764928,147865600,2889592832,6005,2916,0,1576960,0,120,1252,2163,1.910,1.530,1.430,0,1,0,0,0,16,7,0,6,0
20-02 11:30:46,9.548,5.528,32.663,50.754,1.508,715460608,272601088,147914752,2889564160,6048,3240,0,532480,0,38,736,1520,1.910,1.530,1.430,0,1,0,0,0,16,7,0,6,0
20-02 11:30:47,14.573,10.553,28.643,45.226,1.005,715759616,271949824,148041728,2889768960,6779,3282,0,1097728,0,95,919,1850,1.910,1.530,1.430,1,1,0,0,0,16,7,0,6,0
20-02 11:30:48,12.563,10.050,42.211,31.658,3.518,715870208,271699968,148152320,2889793536,7627,3240,0,2256896,0,95,865,1666,1.910,1.530,1.430,3,1,2,0,0,16,7,0,6,0
